Usuario,Mensagem,Localizacao
coyotenando,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
luanloko13,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
Felicid37376030,"RT @EronaldoHames: @joaoamoedonovo Boa #JoaoNoJornalNacional #JoãoNoJn , 1 min q valeu mais q os 27 dos outros canditados",
magaverlangieri,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
humbor,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",São Paulo
rmviel,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,Curitiba
warcraftjulio21,"Queremos o João Amoedo no debate da Globo para agregar suas ideias ao debate politico.
#JornalNacional 
#JoãoNoJN 
#Novo30
#JoãoAmoedo",
EdivanildoAraj1,"RT @iuriaguiar: Está chegando a hora.
#JoãoNoJN https://t.co/Mxiqy5hG7K","Salvador, Brasil"
Gabriel_F_F_C,#JoãoNoJN ahhhhh se ele fosse convidado pros debates,"Niterói, Brasil"
Douglaasbarbosa,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Guararapes
maauricio,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,Santos — sp. Brasil
BBBodiei,"RT @daniramminger: Pena que foi só um minuto, mas só João é NOVO de verdade!! #JoãoNoJN","Santa Catarina, Brazil"
MrLeandroMR,RT @AntonioGermano_: Hoje à noite vai ter #JoãoNoJN . A Globo deu apenas 1 minuto de gravação para o Partido Novo e Amoêdo (ao invés dos 27…,"Rio de Janeiro, Brasil"
FadimaBell,#JoãoNoJN arrasou João! Os votos do time aqui de casa já são seu!,São Paulo
wbvitor,RT @AntonioGermano_: Hoje à noite vai ter #JoãoNoJN . A Globo deu apenas 1 minuto de gravação para o Partido Novo e Amoêdo (ao invés dos 27…,"Distrito Federal, Brasil"
MarceloJuva,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Dublin, Irlanda"
Luciano_Dexter,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
AmoedoNOVO2018,"#JoãoNoJN foi curto, mas foi bom. Vamos continuar a mostrar pro Brasil quem ele é, aqui nas redes sociais",Por um Brasil melhor
teodorfabiano,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,Londrina-PR
Dirk_Henning,"@Welling93567124 Podiam ser 30 segundos...

Quando existe conteúdo, tempo é um detalhe

30 segundos
30... 
30...

Confirma #joãonojn",Joinville - SC -Brasil
betomagnetoo,#JoãoNoJN foi bom mas o que tem que ter é #joaonosdebates,Brasil
hele_nna,RT @IsinhaaX: Amoedo falou em 1 min o que os outros 4 candidados não conseguiram falar em quase 30. #JoãoNoJN,Rio de Janeiro - Brasil
MarceloJuva,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Dublin, Irlanda"
angelaarozzi,"Falou em 1 minuto, o que os outros candidatos não conseguem em 30 minutos. 👏👏👏 #JoãoNoJn","Rio Grande do Sul, Brasil"
RickoOli,"#JoãoNoJN com 1 minuto teve mais conteúdo do que os candidatos mais bem colocados nas pesquisas. 
#OndaLaranja… https://t.co/dhzI54Hkvo","Poá, Brasil"
MatteusCampos3,"""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Visconde do Rio Branco, Brasil"
__caiou,Em um minuto ele apresentou mais propostas do que muita gente que teve 27 min e só enrolou... #JoãoNoJN,Ponto final do 61
noemi_nk,"RT @tamiecristie: #JoãoNoJN Parabéns, @joaoamoedonovo !! Falou tudo! https://t.co/Y3v5c7gxHq","São Paulo, Brasil"
Biel_montesano,"Apesar de apenas um minuto, acredito que ele é capaz de aproveitar bem
#JoãoNoJN",nova odessa
amc_campos,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,
