Usuario,Mensagem,Localizacao
_LittleHobi,RT @mannicome: Discurso final da Marina Silva foi o melhor dessa semana DEFINITIVAMENTE #MarinaNoJornalNacional https://t.co/nCgcCvaYLR,"Rio das Ostras, Brasil"
runmand,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",Recife
lcrive,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…",São Paulo SP 
Fabtang31,"RT @VladimirBorin: Que horror de entrevista...Deus me livre de viver numa  Marinolândia: O cara estuprou: dialoga com ele, fulano matou: va…",são gonçalo
ArnaldodPaiva,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou a única candidata que diz que apoia a Lava Jato."" Fake News. Dizer, todos dizem. Apoiar, al…",
Mallowbr7,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,
unknow_880,"RT @ojamestv: Marina Silva.
Mulher honrada
Inteligentissima
Com propostas sérias
Não usa dinheiro público pra comer gente
Não tem funcionár…",hogwarts
Pelourinho_News,RT @BetoSilvaBR: #MarinaNoJornalNacional com licença; fui informado que mulheres não apoiam Bolsonaro. Essa informação procede? 🤔 https://t…,Salvador - Bahia
alcj_com,"Arrastão na #Apple da Califórnia?Não éo País seguro pq todo ""Cidadão de Bem"" pode viver armado?O país mais seguro d… https://t.co/7I0RgDAwAE",Salvador/Bahia/Brasil
vanuza_vs,"RT @JOAQUIMTEIXEIA: BOLSONARO ENTROU NA REDE GLOBO, CHUTOU A MESA DO JN, PASSOU O BABÃO NA CARA DA RENATA E AINDA FALOU DO CASAMENTO DO BON…",
mahmariposa,"RT @alvxaro: a marina é a única que vai ser julgada pela aparência ou vocês acham o bolsonaro, ciro, amoêdo e etc uma coisa linda? https://…","Rio de Janeiro, Brazil"
ForeverIerdatic,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",Na merda 
alexwerneck8,"RT @pauloap: QUER SABER QUEM É MARINA SILVA? ESSA AQUI:

#MarinaNoJornalNacional https://t.co/b4he2iRpxn","Rio de Janeiro, Brasil"
poxxacat,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…","Los Angeles, CA"
swiftrepwtation,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…","Sao Paulo, Brazil"
Ulyssesms2,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…",
theucu_,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",Esquina
fera2k,"RT @VladimirBorin: Que horror de entrevista...Deus me livre de viver numa  Marinolândia: O cara estuprou: dialoga com ele, fulano matou: va…","Brasília, Distrito Federal, Br"
