Usuario,Mensagem,Localizacao
bchartsnet,"Geraldo Alckmin (PSDB) 4,97%
João Amoedo (NOVO) 2,72%
Henrique Meirelles (MDB) 1,22%
Cabo Daciolo (PATRI) 1,21%
Mar… https://t.co/hRLQWuZzqA",Brasil
4quino,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,97%
João Amoedo (NOVO) 2,72%
Henrique Meirelles (MDB) 1,22%
Cabo Daciolo (PATRI) 1,21%
Marina Silv…","Embu, SP"
ar_adriano,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,97%
João Amoedo (NOVO) 2,72%
Henrique Meirelles (MDB) 1,22%
Cabo Daciolo (PATRI) 1,21%
Marina Silv…",Belém
heltonverao,"Sem a oportunidade de participar dos debates, o @joaoamoedonovo ficará a frente de Marina, Meirelles, Boulos, Dacio… https://t.co/W9GuLn9s18","Campo Grande, MS"
sinuheqg,"Possivelmente essa foi a última tentativa à Presidência de Marina, Ciro, Meirelles...

Aguardemos cenas dos próximo… https://t.co/wIwYZ23b7l",Brazil
Artigo_21,"#Brasil, 85,86% dos votos:
Bolsonaro, 47,6%
Haddad, 27,2%
Ciro, 12,4%
Alckmin, 4.9%
Amôedo, 2,7%
Meirelles, 1,2%
Da… https://t.co/KN2FjI7syI",nan
raphaelscostarj,"@Val_Ce1 #Eleições2018 @CaboDaciolo empatado c/ @meirelles, e a frente de @MarinaSilva, @alvarodias_ e @GuilhermeBoulos",Rio de Janeiro
PasqualiEduardo,Fizeram tanto meme do Daciolo que ele fez uma votaçao semelhante a do meirelles. Mais de 1M de votos. Voces criaram… https://t.co/VHB0hvOow6,"Gaurama, Brasil"
fchagasbastos,#Eleições2018 parte 2 - $45 milhões contra $700 reais; Daciolo quase passando Meirelles (88% das urnas) https://t.co/au2FXR4wc4,nan
dominatrixrj,"como que esses sequelados do alckmin, amoedo, meirelles tem mais voto que marina, boulos... meu deus do ceu",rio de janeiro
pedrohcponchio,"@JanainaDoBrasil teve mais votos que Henrique Meirelles, Cabo Daciolo, Marina Silva, Álvaro Dias, Guilherme Boulos.

#Eleições2018",United States
warckos,"Cabo Daciolo passou Marina e vai passar Meirelles, que gastou R$ 20m do próprio bolso. #Eleições2018","Salvador, BA"
katherysm,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,97%
João Amoedo (NOVO) 2,72%
Henrique Meirelles (MDB) 1,22%
Cabo Daciolo (PATRI) 1,21%
Marina Silv…",nan
Fabianoshow4,"A decepção não é só do nordeste mas sim de quem votou no Amoedo, Marina, Alckmin, daciolo, Meireles e Álvaro Dias.… https://t.co/Mf5BynNMD8",São Paulo
bchartsnet,"Geraldo Alckmin (PSDB) 4,89%
João Amoedo (NOVO) 2,65%
Cabo Daciolo (PATRI) 1,24%
Henrique Meirelles (MDB) 1,22%
Mar… https://t.co/IEnWwJ5342",Brasil
4quino,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,89%
João Amoedo (NOVO) 2,65%
Cabo Daciolo (PATRI) 1,24%
Henrique Meirelles (MDB) 1,22%
Marina Silv…","Embu, SP"
Leth_GS,Daciolo passa Marina e Meirelles 😂 CHOCADA #Eleições2018,"SP, BRASILLL"
LucasSantos276,@CaboDaciolo à frente de Meireles e Marina Silva #Eleições2018,"Rio de Janeiro, Brasil"
Leandro68446781,"Meireles gastou 45 milhões na campanha e recebeu quase a mesma quantidade de votos do Daciolo, que gastou 700 reais rs

#Eleições2018","São Paulo, SP"
jarbasajota,Daciolo ensina Henrique Meirelles como faz uma campanha com R$700!!  Hahahahahahahahaha #Eleições2018 #G1… https://t.co/AjyEo8zBFR,Londrina
gui02015,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,89%
João Amoedo (NOVO) 2,65%
Cabo Daciolo (PATRI) 1,24%
Henrique Meirelles (MDB) 1,22%
Marina Silv…","Cuiabá, Mato Grosso"
carolsouza0210,ALGUÉM CHAMA O MEIRELLES COM URGÊNCIA #Eleições2018,"Oiapoque, Brasil"
