Usuario,Mensagem,Localizacao
sofrimenton,"RT @elpais_brasil: #Eleições2018 | Bolsonaro: “Vamos colocar um ponto final em todos os ativismos do Brasil”. Após decisão das urnas, Hadda…",Brasil
GaragemDigital1,"RT @congemfoco: Eduardo Bolsonaro vira o deputado mais votado da história. PSL elege 9 em SP, entre eles Alexandre Frota, Joice Hasselmann…","São Paulo, Brasil"
Nadjane151,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
JH_Bastos,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Rio de Janeiro, Brasil"
brunaquiterioo,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,cpv city | crv - mg
J_LUZR,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,nan
juninallencar,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","São Paulo, Zona Sul"
papini_victor,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Belo Horizonte, Brasil"
fpsouzza,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
Vines70418062,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
G3r4ld0_,"RT @RenovaMidia: PSL, partido do candidato Jair Bolsonaro, terá a segunda maior bancada da Câmara, com 51 deputados. Antes disso, a legenda…","Curitiba, Brasil"
GauchoDeDireita,"RT @RenovaMidia: O candidato do PSL, Jair Bolsonaro, é o mais votado em 17 Estados e no Distrito Federal.

Ele só ficou atrás de Fernando H…","Rio Grande do Sul, Brasil"
dbr713,"RT @nadanovonofront: Não adianta mostrar que é racista.

Se sair um vídeo com o Bolsonaro esquartejando um poodle ainda vão dar um jeito de…",nan
delafuentepablo,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Río de Janeiro, Brasil"
daredoevil,"RT @elpais_brasil: #Eleições2018 | Bolsonaro: “Vamos colocar um ponto final em todos os ativismos do Brasil”. Após decisão das urnas, Hadda…",nan
unapologetitc,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,nan
IlhaDeParanapua,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Ilha do Governador, Rio de Jan"
dpsicocris,"Família unida, permanece unida!
#17Neles #Eleições2018
https://t.co/ihgVII9ead Bolsonaro elege filhos com votação recorde",nan
Kaio_sales,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Fortaleza, Ceará"
dbr713,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,nan
mohamed_mnsj,@mantunespb Bolsonaro é o presidenciável mais votado no Recife https://t.co/9XKLrMF7AU #EleiçõesSJCC #Eleições2018… https://t.co/MGeObfEGR9,"Manhattan, NY"
AndersonCRF_,"RT @lekocossu: Uma foto resumindo as eleições!
Estamos lutando, vamos chegar lá! Força Brasil!💪🇧🇷   😎👉👉

#Eleições2018 #BolsonaroPresidente…",Duque de Caxias 
AdriannyLagare2,"RT @Poder360: Confederação de associações comerciais declara apoio a Bolsonaro. @jairbolsonaro #eleições2018
https://t.co/9gOurMqBOG https:…",nan
lolerdao,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,Konoha
dgvieira15,"RT @IgorNavarroBFR: Atenção: Arolde de Oliveira está eleito senador da República pelo Rio de Janeiro.

Bolsonaro colocou seu filho e o seu…","Rio de Janeiro, Brazil"
erico_teixeira,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"São Paulo, Brasil"
pckmatoss,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"New York, NY"
sbrjjo,"RT @RenovaMidia: O candidato do PSL, Jair Bolsonaro, é o mais votado em 17 Estados e no Distrito Federal.

Ele só ficou atrás de Fernando H…","Rio de Janeiro, Brasil"
MusoDaLateral2,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Rio Grande do Norte, Brasil"
2cb9f79a17ef4b8,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
BrunoFla1207,"RT @lekocossu: Uma foto resumindo as eleições!
Estamos lutando, vamos chegar lá! Força Brasil!💪🇧🇷   😎👉👉

#Eleições2018 #BolsonaroPresidente…",Brasil🔴⚫
anabarr37831593,"RT @TheInterceptBr: Magno Malta, que chegou a ser cotado como vice de Bolsonaro e gastou meio milhão de reais em cota parlamentar consumida…",nan
g1,"Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6… https://t.co/6R8T2iONT7",Brasil
san_valki,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
cleidsonasouza,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",belo horizonte mg brazil
larinagy,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,sjc
sccpaulistx,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,dc • mcu • sw • audrey • sccp
gmenezesd21,"RT @RenovaMidia: PSL, partido do candidato Jair Bolsonaro, terá a segunda maior bancada da Câmara, com 51 deputados. Antes disso, a legenda…",nan
iury_lf,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
ZuzuValle,"RT @RenovaMidia: Após pedir voto para Jair Bolsonaro no último debate da Globo, o candidato do Novo, Romeu Zema, destruiu as análises dos i…","Rio de Janeiro, Brasil"
sra_perola,RT @portaldaband: Menções a Ciro e Bolsonaro aparecem em trending topics do Twitter no mundo #Eleições2018 https://t.co/u6F9M6ufbU https://…,nan
CesarOr35900075,"RT @BLACHFISH: Bolsonaro vai ao TSE exigir explicações sobre problemas nas urnas - ISTOÉ Independente  #Eleições2018
 https://t.co/hLV7vxQn…","Curitiba, Brasil"
IdelsoRosa,"RT @dconline: Eleito senador, Esperidião Amin (PP) fala sobre votação e sobre seu voto a Jair Bolsonaro (PSL) #Eleições2018 #EleiçãoSC http…","Guatambú, Brasil"
