Usuario,Mensagem,Localizacao
dorigatti,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Rio de Janeiro
suboatto,"Daciolo teve mais votos que Boulos e Marina, wtf?? https://t.co/A1QekhGP7c","Berlin, Germany"
ArgothR,"Precisamos derrubar o fascismo!

Espero que @cirogomes, @MarinaSilva, @GuilhermeBoulos , apoiem o @Haddad_Fernando!!!
#Eleições2018",nan
dianaprincxs,RT @clubdoscinco: boulos voce é presidente no meu coração ok https://t.co/nTCIJSrQXq,nan
HulkInRio,Tarcísio tem mais votos que o Boulos. O Tarcísio conseguiu mais votos no RJ que o Boulos no país inteiro. #Eleições2018,Republica Stalinista da Ilusão
eucidinha_,"Eu gostei muito do Boulos, espero que ele se candidate novamente e que tenhamos, após 4 anos de tormenta, uma eleiç… https://t.co/ctRdhrPOlf","São Paulo, Brasil"
thxneighbourhd,RT @clubdoscinco: boulos voce é presidente no meu coração ok https://t.co/nTCIJSrQXq,@replacedemi ❤
Andreipdm,#Eleições2018 #Boulos18 #BoulosESonina50 Parabéns companheiro @GuilhermeBoulos a sua luta trouxe para a política às… https://t.co/cc93dtVj4s,nan
neocity99,RT @clubdoscinco: boulos voce é presidente no meu coração ok https://t.co/nTCIJSrQXq,ravenclaw « ♎️ » bi
vanildoneto,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…",Maceió | Rio Largo | Alagoas
victoseverino,"O que explica o 1% de Marina e o 0,58% de Boulos foi o voto útil de esquerda em favor de Haddad. Ciro Gomes não des… https://t.co/q7qk5A5SKf","São Paulo, Brasil"
Andreipdm,"#Eleições2018 #Boulos18 #BoulosESonina50

Parabéns companheiro Guilherme Boulos do PSOL. Sua luta trouxe para à pol… https://t.co/Eoj4l8sXc2",nan
jeff_farias,@joaoamoedonovo bem a frente da @MarinaSilva @GuilhermeBoulos @meirelles e @alvarodias_. É deu pra entender bem a l… https://t.co/HqNHWZeNGH,nan
Andreipdm,"#Eleições2018 #Boulos18 #BoulosESonina50

Parabéns companheiro @GuilhermeBoulos do PSOL. Sua luta trouxe para à pol… https://t.co/bvQutIpF9o",nan
fuck_eve,RT @clubdoscinco: boulos voce é presidente no meu coração ok https://t.co/nTCIJSrQXq,"Tabatinga, Brasil"
territorialfae,Gente scrr que o Daciolo tá na frente da Marina e do Boulos kkkkklkkkkll GLÓRIA DEUX #Eleições2018 https://t.co/hDLMTgK1l2,Wendlyn
fwlings,RT @gabvasa: marina e boulos com menos aue o cabo daciolo kkkkkkkk https://t.co/uvlZyas6r4,"Santo Antônio do Descoberto, Brasil"
mafer0091,RT @gabvasa: marina e boulos com menos aue o cabo daciolo kkkkkkkk https://t.co/uvlZyas6r4,"Maringá, Brasil"
IngridRMoraes,o Boulos com nem 1% #Eleições2018,"Mogi Das Cruzes, SP"
MyriOliveira,"RT @MyriOliveira: Ciro, Alckmin, Marina, Boulos, Daciolo e Meirelles fecham com o Haddad no 2º turno? #Eleições2018 #BocadeUrna https://t.c…","Rio de Janeiro, Brasil"
leocolato,RT @gabvasa: marina e boulos com menos aue o cabo daciolo kkkkkkkk https://t.co/uvlZyas6r4,middle earth
joaopnevs,RT @gabvasa: marina e boulos com menos aue o cabo daciolo kkkkkkkk https://t.co/uvlZyas6r4,"Imaruí, Brasil"
thelukeset,"o cara na recordnews falando que o discurso do boulos eh 50 anos atrasado. amigo, ele ta mais eh pra 50 anos a fren… https://t.co/AtszfB2K88",São Paulo 
AryDias00,"OS NORDESTINOS, O POVO QUE VOTOU NO BOULOS E NO CIRO, SE JUNTANDO A TURMA DO HADDAD PRA GANHAR DO BRONTOSSAURO NO S… https://t.co/ReDgKK5ccJ","Juiz de Fora, Brasil"
agd_cns,sigo chorando por boulos com menos de 1% #Eleições2018,"Matão, Brasil"
CrisFSantana,"RT @thelukeset: o cara na recordnews falando que o discurso do boulos eh 50 anos atrasado. amigo, ele ta mais eh pra 50 anos a frente, ne?…","São Paulo, SP"
hstyIers,BOULOS MEU DEUS,𝑙𝑖𝑙𝑦 𝑐𝑜𝑙𝑙𝑖𝑛𝑠
LizPronin,57% dos votos apurados e Cabo Daciolo tem mais votos que Marina e Boulos! Eles não inspiram confiança nenhuma no eleitor. #Eleições2018,"São Paulo, Brasil"
lucascristofoli,Boulos foi no debate e o Daciolo não. Daciolo está fazendo o dobro de votos do Boulos.... Chora invasor! #Eleições2018,Bento Gonçalves - RS
