Usuario,Mensagem,Localizacao
Pax_11,Eu quero parabenizar o @TSEjusbr pelo e-Título. Votei com meu celular e tudo certo. #Eleições2018,Brasil
_aline_fonseca,"RT @RainhaCarminha: Agora será Bolsonaro x Haddad
Chegou o momento em que a gente escolhe o menos pior, então vou me posicionar e ficar do…",Nova Iguaçu-Rj
MarcelVictorino,"Vamos à um cálculo básico:
Jair Bolsonaro        46,07%
Fernando Haddad  29,22
Outros:.                    21,71%
P… https://t.co/r0WtX1i9G3","Araruama, Brasil"
ms10_silva,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Pernambuco, Brasil"
Roarazes,"Haddad só venceu aqui, esse segundo turno infelizmente o nazista vai levar.
Eu tô desesperado","May 23, 2016"
carlosneves1971,"Flamengo/LgoMachado é um lixo
Só maconheiros sem sexo definido pró piçol, pt e ""àquilo q o Lula mandar""… https://t.co/TxOtje9Ls5",Brazil
Marta30fgmailc1,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
Magno__ongaM,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
greatbarda,"RT @g1: Bolsonaro vence em 2,8 mil cidades, Haddad, em 2,6 mil, e Ciro, em mais de 100 https://t.co/kUytNbXqe6 #Eleições2018 #G1 https://t.…",nan
AndGerAlves,"O @ptbrasil do @LulaOficial e seu ""garoto de recados"" @Haddad_Fernando enganam o povo brasileiro com falta de carát… https://t.co/l17L0SvfrJ",nan
Marston17Jhon,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
