Usuario,Mensagem,Localizacao
renepereznic,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h30:
Bolsonaro, 47%; Haddad, 27,9%; Ciro, 12,5%; Alckmin, 4%;…",Nicaragua Insurrecta
mais1aloka,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,Fortaleza
jccosta64,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Lisboa, Portugal"
jpgalicia,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Mérida, Yucatán"
Geo_Risk,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Santiago - Chile
jac_132,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Planeta Tierra
ruanneiva,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,rio de janeiro
TecnocraciaVzla,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",EN EL TOKYO DE LA MADRE
brunopatette,"Presidência 

Urnas 95,04%
Bolsonaro (PSL):  46,79%
Haddad (PT):  28,26%
Ciro (PDT): 12,52%
Alckmin (PSDB): 4,84%

#Eleições2018", Campinas - São Paulo
FabiParraguezM,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Chile
jeannettekaz,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h30:
Bolsonaro, 47%; Haddad, 27,9%; Ciro, 12,5%; Alckmin, 4%;…",Chile
lucas_ff12,"Geraldo Alckmin foi um desastre, o PSDB é um dos partidos que está fadado ao declínio. #Eleições2018","Goiás, Brasil"
EFeij,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,Rio de Janeiro
clagelages,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Belo Horizonte
JackAldwinckle,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…","Buenos Aires, Argentina"
NicoVentu_3,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",nan
dxvglas7,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/Xl7s…,"Fortaleza, Brasil"
RodP13,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",Belo Horizonte
AliciaB12316558,"RT @InfoNodal: #ResultadoTSE #Eleições2018 Información parcial del @TSEjusbr 19.20:
Bolsonaro, 46,3%; Haddad, 25,2%; Ciro, 11,7%; Alckmin,…","Montevideo, Uruguay"
asmreis,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 19h20:
Bolsonaro, 46,3%; Haddad, 25,2%; Ciro, 11,7%; Alckmin, 4,…",Itajubá-MG
asmreis,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 19h35:
Bolsonaro, 48,4%; Haddad, 26,5%; Ciro, 12,3%; Alckmin, 4,…",Itajubá-MG
