Usuario,Mensagem,Localizacao
_MFritzen,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc",São Miguel do Oeste - SC - BR
NBACometaBALLey,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,"São Paulo, Brasil"
Marcio_sz,RT @RenanUchoa_: Eu tenho orgulho de fazer parte do 1 milhão de votos para Marina. Não caí na ilusão e covardia do voto útil. Não vou ficar…,"Florianópolis, Brasil"
ENNAYAN,"E Marina Silva vai apoiar quem neste segundo turno? Em cima do muro que não dá pra ficar.
#Eleições2018",Brasil
voadaniela,Que horror isso da Marina atrás até de Daciolo... 😶 #Eleições2018,"Minas Gerais, Lua"
davivcorrea,@MarinaSilva ficou atrás de Cabo Daciolo e do estreante @meirelles. Agora ela vai tirar férias até 2022 quando reto… https://t.co/cJUquCWvNG,"Brasil - Petrópolis, RJ"
rafaeuux,RT @TodaTV: Eu não imaginaria nunca que a Marina Silva só teria 1% dos votos e teria menos votos que o Cabo Daciolo #Eleições2018,nan
ALuizCosta,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,"São Paulo, Brasil"
asasmorenasreal,"Façam campanha nas RUAS, espalhem a palavra que o governo Haddad não será petista, mas de COALIZÃO. Ciro, Marina, M… https://t.co/6sdMCOfVVQ","Cidadão do céu, 666"
ninabelem,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,Belem-Pará-Brasil
n1viacarvalho,Sabe onde está Wally? Tipo Marina Silva. #Eleições2018,Rio de Janeiro - Brasil
Guine_SPFC,"Parabéns ao eleitor que ficou com @geraldoalckmin, @joaoamoedonovo, @cirogomes, @MarinaSilva, @alvarodias_,… https://t.co/mUOSQgvbf9",Brasil
vanildoneto,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…",Maceió | Rio Largo | Alagoas
victoseverino,"O que explica o 1% de Marina e o 0,58% de Boulos foi o voto útil de esquerda em favor de Haddad. Ciro Gomes não des… https://t.co/q7qk5A5SKf","São Paulo, Brasil"
Gabriel94819653,RT @falarafha: ai marina por favor desative por uns anos #Eleições2018 https://t.co/MTX8oswyUb,"Engenho da Rainha, Rio de Jane"
MorenaRabugenta,"RT @RealitySocial: Caralho, a Marina mano... ahahaha #Eleições2018 https://t.co/cqhbtKh9Tc","poRRRta, poRRRteira, poRRRtão"
spicybrazilianj,"Todo mundo atrás do Daciolo, glória a Deusxxx chora marina tartaruga #eleições2018","Edinburgh, Scotland"
vinileolau,"Haddad vai precisar de todos os votos de 
Ciro 
Alkmin 
Amoedo 
Daciolo 
Meireles e 
Marina.

Bolsonaro os de Alkmin

#Eleições2018",Brasil
_ritmo_,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,"Novo Brasil, Brasil"
xmariistx,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,"São Luís - MA, Brazil"
milllthor,"RT @asasmorenasreal: Façam campanha nas RUAS, espalhem a palavra que o governo Haddad não será petista, mas de COALIZÃO. Ciro, Marina, Meir…",Aracaju
Paty_Goncalves,"Gente , a Marina Silva conseguiu ficar atrás do Dacciolo 😂😂😂😂 #Eleições2018",Salvador/Bahia
jeff_farias,@joaoamoedonovo bem a frente da @MarinaSilva @GuilhermeBoulos @meirelles e @alvarodias_. É deu pra entender bem a l… https://t.co/HqNHWZeNGH,nan
GessirobertR,RT @TodaTV: Eu não imaginaria nunca que a Marina Silva só teria 1% dos votos e teria menos votos que o Cabo Daciolo #Eleições2018,nan
andfior,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,Curitiba/Joinville - Brasil
ismenialima1,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,"Barreiras, Brasil"
ImLuan,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,São Vicente-SP
Petkovic10e43,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,"Moscovo, Rússia"
josivangomees,Coitada da Marina,"Fortaleza, Brasil"
Sambrito,Marina é uma personagem injustiçada nessa série. Seria a primeira a morrer nas mãos da Shonda #Eleições2018,"Niterói, Brasil"
