Usuario,Mensagem,Localizacao
_fernandestiago,"RT @alessandrazv: Por enquanto, com 57% das urnas apuradas, Cabo Daciolo (Patriotas) está na frente de Alvaro Dias (Podemos), Marina Silva…","Campinas, Brasil"
LeandroMartyns1,"Minas Gerais 43,93% das urnas apuradas:
Deputado Federal
Marcelo Álvaro Antônio 2,48%
Áurea Carolina 2,06%
André Ja… https://t.co/WmUS2ao0KP","Ipatinga, Brasil"
MiriaFigueiredo,"Pesquisas erraram feio hein...
Marina, Álvaro Dias, Boulos tem menos votos que Daciolo em 68% das #UrnasApuradas no… https://t.co/wvy9kGcgcC","Brasil, São Paulo, São Paulo"
LeticiaPimenta,"#ViraViraClR0 😭🙏  #Eleições2018
Votei no Álvaro Dias, mas para o 2° turno, Ciro Gomes, vira, nunca te pedi nada.","Vitória, Brasil"
elvisedgard,Daciolo mais votado que Álvaro Dias e Marina! Q país é esse! #Eleições2018,nan
kertzerei,"o Bonner impressionado com o daciolo na frente de Marina e Álvaro Dias, pediu até pra outra jornalista mostrar de novo #Eleições2018",Fortaleza 
lu_euacredito,"Com 71,55% de urnas apuradas, Marina Silva e Alvaro Dias abaixo do SUPERSTAR Cabo Daciolo!!! Incrível!!! Fenômeno!
#Eleições2018",De algum lugar qualquer
tatianamariano,"Eu tô chocada demais com a Marina atrás de Amoêdo, Meirelles, Álvaro e DACIOLO #Eleições2018 https://t.co/55lAtEAN3V",Rio de Janeiro
DanMarroni_,"João Amoêdo a frente de Marina, Meirelles, Daciolo e Álvaro Dias. Foi muito bem, diga-se

#Eleições2018","Americana, Brasil"
cgonflavia,"Mano.. o Daciolo foi mais votado que a Marina e o Álvaro KKK não tô crendoooo
#Eleições2018",nan
SanderCats,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,nan
LuizPauloAzeve2,Daciolo passou Marina e Álvaro Dias... vem monte. #Eleições2018 #G1 #MasterChefCelebrity https://t.co/1z8o7bhJEQ,nan
LipeBlask,Daciolo vencendo Marina e Álvaro Dias é algo formidável. #Eleições2018,Promissão -SP Brasil
nandoblink,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,Brasil
Infunantic,"Daciolo na frente de marinna, Álvaro e boulo
Glória a Deuxx
#Eleições2018 https://t.co/IQfLZMr4fk","Campo Grande, Rio de Janeiro"
deQueiroz0,Marina Silva e Alvaro Dias atrás do Cabo de Deus 😨😨 #Eleições2018  #EleiçõesOPOVO  #BrasilDecide https://t.co/7tJnBORW0o,Minas Gerais
julio_mello03,"RT @Infunantic: Daciolo na frente de marinna, Álvaro e boulo
Glória a Deuxx
#Eleições2018 https://t.co/IQfLZMr4fk","Rio de Janeiro, Brasil"
Amandaparacy,Bonner ta indignado que o Daciolo ta com mais votos que a Marina e o Álvaro. Bem feito quem mandou não convidar ele pro debate #Eleições2018,Pelotas - Rio Grande do Sul
ZavattaBruno,"Patota de Amoedo, Álvaro dias e até Daciolo, estão distanciando o final no 1o turno e dando Oxigênio a Corrupção!… https://t.co/MS3bUmo1is",nan
andrerangel_04,RT @LuizPauloAzeve2: Daciolo passou Marina e Álvaro Dias... vem monte. #Eleições2018 #G1 #MasterChefCelebrity https://t.co/1z8o7bhJEQ,"Rio de Janeiro, Brasil"
luizzzilli,não aceito Álvaro Dias com mais votos que Boulos esse país merece a miséria mesmo,nan
yassakura,"RT @Infunantic: Daciolo na frente de marinna, Álvaro e boulo
Glória a Deuxx
#Eleições2018 https://t.co/IQfLZMr4fk",Cg
DMXBH,"Marina Silva, vindo de duas eleições presidenciais e Álvaro Dias, senador e surfando a onda da Lava Jato+Sérgio Mor… https://t.co/jf38ESZP7I",ARGENTINA
jornal_cultura,O cientista político José Álvaro Moisés fala sobre as expectativas de seu partido para as #Eleições2018. Comente co… https://t.co/mrDOUQIw1J,nan
jothabelchior,"Daciolo na frente de Marina e Álvaro. Outro fenômeno, mesmo q pequeno? #Eleições2018",nan
_OneBass_,RT @LuizPauloAzeve2: Daciolo passou Marina e Álvaro Dias... vem monte. #Eleições2018 #G1 #MasterChefCelebrity https://t.co/1z8o7bhJEQ,nan
filhopaulo2012,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,nan
raphaelscostarj,"@Val_Ce1 #Eleições2018 @CaboDaciolo empatado c/ @meirelles, e a frente de @MarinaSilva, @alvarodias_ e @GuilhermeBoulos",Rio de Janeiro
pedrohcponchio,"@JanainaDoBrasil teve mais votos que Henrique Meirelles, Cabo Daciolo, Marina Silva, Álvaro Dias, Guilherme Boulos.

#Eleições2018",United States
vintage_meow_,"RT @Infunantic: Daciolo na frente de marinna, Álvaro e boulo
Glória a Deuxx
#Eleições2018 https://t.co/IQfLZMr4fk","não sei, to perdida"
Fabianoshow4,"A decepção não é só do nordeste mas sim de quem votou no Amoedo, Marina, Alckmin, daciolo, Meireles e Álvaro Dias.… https://t.co/Mf5BynNMD8",São Paulo
apaulaft,"As árvores não votaram nele e infelizmente não foi dessa vez. No entanto, ele ficou a frente da Marina e do Álvaro… https://t.co/0YeQoYQhF9","Fortaleza, Brasil"
JuliorossoOfici,Recebeu mais votos que @MarinaSilva @alvarodias_  Glória a DEUXXXXX #Eleições2018 #GNEleicoes2018 https://t.co/ZkFBcl4gOt,"Florianópolis, Brasil"
trancosoanna12,"RT @apaulaft: As árvores não votaram nele e infelizmente não foi dessa vez. No entanto, ele ficou a frente da Marina e do Álvaro Dias  😎  A…",nan
srtajanna1,Eu ri quando o Carlinhos Vidente disse que o Alvaro Dias ia ganhar a eleição. Não sabia que o que estaria por vir i… https://t.co/KFOumIROwn,nan
TheDiegoLeonel,"Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #Eleições2018","Maceió, Brasil"
KingRuckFules,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…","Bom Jesus do Norte, Brasil"
MatheusXXXX_,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…",Minha casa
MarciaDVarella,RT @alvarocdias: Exercendo a cidadania. O voto é o instrumento mais importante da nossa democracia. #Eleições2018 https://t.co/3CzvgwA69l,nan
luana_pvls,"RT @sailoratlantis: Suzuki - Japão #eleições2018

1. Bolsonaro (322 votos)
2. Alckmin/Ciro Gomes (20 votos)
3. Alvaro Dias (15 votos)
4. Am…",MAO  / BRA
pynguas_,A cara do Alvaro Dias mostra seu problema c o alcoolismo kkkkkkk  #Eleições2018,"Goiânia, GO"
nadiralves2013,"RT @ramon2p: Trecho do #DebateNaGlobo onde Fernando Haddad DETONA Álvaro Dias deve ser guardado para posteridade. 😂😂😂👏👏👏
-
#HaddadÉ13 #Tsun…","Rio de Janeiro, Brasil"
mafreit,Requião fora @AlvaroPenerotti ?,São Paulo
whylu_,"RT @sailoratlantis: Suzuki - Japão #eleições2018

1. Bolsonaro (322 votos)
2. Alckmin/Ciro Gomes (20 votos)
3. Alvaro Dias (15 votos)
4. Am…","Rio Grande do Sul, Brasil"
rglioche,"Amoêdo já acenou a Bolsonaro hoje e a tendência é que Henrique Meirelles, Álvaro Dias e Alckmin façam o mesmo nos p… https://t.co/C9AQz8oSK5","São Paulo, Brasil"
daniel_marcondz,"RT @carolinabbs81: Cumprido o dever, agora é aguardar e ativar o modo Álvaro Dias de embriaguez honesta. 
#Eleições2018","São Paulo, Brasil"
MetalHirose,"Aqui no meu app, o Álvaro dias ta ganhando #eleições2018 https://t.co/oUOSfmZ9GP","Santo André, Brasil"
arnaudmattoso,Estou álvaro com o #RN Fátima Bezerra na frente pro governo. Não é possível. Ela é muito ruim. Aliás tem 3 estados… https://t.co/Zxe7pc4wPK,Recife PE
redator,Alvaro Dias e Cabo Daciolo na frente nas apurações oficiais. #ELEIÇÕES2018 https://t.co/9rI1JH4kLs,São Paulo
escuerzo,RT @redator: Alvaro Dias e Cabo Daciolo na frente nas apurações oficiais. #ELEIÇÕES2018 https://t.co/9rI1JH4kLs,"São Paulo, Brasil"
sinuheqg,"Álvaro Dias já pode trocar de partido!

Troca o PODEMOS por TENTAMOS!

#Eleições2018",Brazil
OffSugakook,"RT @sailoratlantis: Suzuki - Japão #eleições2018

1. Bolsonaro (322 votos)
2. Alckmin/Ciro Gomes (20 votos)
3. Alvaro Dias (15 votos)
4. Am…",Brazil
LeandroMartyns1,"Professor Oriovisto do Podemos eleito senador pelo Paraná, Álvaro Dias elegendo seu correligionário #Eleições2018","Ipatinga, Brasil"
ThallysBAlm,"Boca de Urna Presidente

Bolsonaro 45
Haddad 28
Ciro 14
Alckmin 4
Amoedo 3
Marina 2
Alvaro, Daciolo, Boulos e Meirelles 1 cada
#Eleições2018","Maceió, AL, Brasil"
