Usuario,Mensagem,Localizacao
JohnSecco,"A culpa não é do Amoedo, ele fez a campanha dele; não é do nordestino, eles se informam sobretudo por radio e tv. A… https://t.co/bv8rFlQpxa",Pessoa normal.
imbackbiitches,"Sul e Sudeste 🧡🧡🧡🧡 
3% Amoedo",Brasil
Jessica_Pernis,"Eleitores do Amoedo e ai meus amigos, satisfeitos? É o Haddad que vocês queriam né? Que triste esse dia, o Brasil p… https://t.co/HfhXfr7dCb",Brasil
natalia_mendo,Agora quem decide são os eleitores do Alckmin e do Amoedo ...,BrasIL
fessorScotch,"RT @JohnSecco: A culpa não é do Amoedo, ele fez a campanha dele; não é do nordestino, eles se informam sobretudo por radio e tv. A culpa é…","Minas Gerais, Brasil"
pablombento,Traidor da nação: @joaoamoedonovo. #Eleições2018,"Jundiaí, Brasil"
taymusica,RT @pablombento: Traidor da nação: @joaoamoedonovo. #Eleições2018,nan
Amandaparacy,Amoedo e Daciolo não foram convidados para o debate da globo. Toma essa globo. #Eleições2018,Pelotas - Rio Grande do Sul
laneecabral,"Eu quero ver nego apoiando ladrão agora. Foi por pouco, hein! Um amoedo já resolvia no 1°. Mas tá bom! 2° turno ser… https://t.co/LJ4qBRa8aZ","Higienópolis, Rio de Janeiro"
mailde,"RT @bandnewsfmrio: A repórter Clara Nery acompanhou a votação do @joaoamoedonovo, do Novo, e traz mais detalhes sobre a passagem do preside…",nan
shawannareis,"João Amoedo, sem tempo de campanha na TV, sem ir aos debates, sem usar dinheiro do fundo partidário termina em 5° l… https://t.co/3byFaRlqbS",nan
JuanCast72,"RT @tferrerm: São Paulo capital, al 98%:
Bolsonaro 44,6%
Haddad 19,6%
Gomes 14,8%
Alckmin 8,8%
Amoêdo 5,7%
Silva 1,5%
#EleccionesBrasil #El…","Évora, Portugal"
srribeiro,Surpreso pelos votos do João Amoedo. Me pareceu um ótimo candidato de boas ideias e propostas. Acho que faria um bo… https://t.co/1nrbhtqTHG,Alagoas - Brazil
sr_Fodastico15,"Agora você que votou em Ciro, Meirelles, Amoêdo, que caiu no conto da oposição fake ou que se omitiu, vai votar em… https://t.co/UIGkDJSnvp","Curitiba, Brasil"
srribeiro,Queria ter visto o Amoedo nos debates. Espero que ele persista para chegar lá um dia. #Eleições2018,Alagoas - Brazil
VanessaRamalho,2.637.996 ainda acreditam na renovação. #30 #JoãoAmoedo #Eleições2018 #trintei https://t.co/zFMqSBx1WK,"Teresina, Brasil"
Guine_SPFC,"Parabéns ao eleitor que ficou com @geraldoalckmin, @joaoamoedonovo, @cirogomes, @MarinaSilva, @alvarodias_,… https://t.co/mUOSQgvbf9",Brasil
pvtavernard,RT @RenovaMidia: João Amoêdo (Novo) disse que não vê “possibilidade de apoiar o PT” em um eventual segundo turno e considera apoio a Jair B…,Brazil
vanildoneto,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…",Maceió | Rio Largo | Alagoas
mari1carvalho,"RT @renata_rubens: Se @joaoamoedonovo, algum dia, queria ser Presidente do Brasil, já sabe, né?

#Eleições2018",Brasil
