Usuario,Mensagem,Localizacao
RitaRitaplaneta,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",Jacarepaguá /Rio de Janeiro 
lucasmiIiano,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Laura ♡
elmaluiza,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID","Uberlândia, Brasil"
mantheusl,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Rio de Janeiro, Brasil"
MDiasSousa,"Eu sou seu fã @CaboDaciolo você é um exemplo a ser seguido, por cristãos e não cristãos.",Palmas-TO // Xinguara-PA
grundiezera,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",tm squad
romariopassos,O Daciolo não chegou nem a 2% nessa apuração mas em nossos corações ele já tem 100% de aprovação. #Eleições2018⁠ ⁠,"Bemposta, Três Rios - RJ "
amanda_2626,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",Brasil
ric_fiorini,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"São Paulo, Brasil"
dory_vianna,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Rio de Janeiro, Brasil"
DeceivedbyBTS10,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,garota de direita  
ramomachado,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Nicolândia, URU"
savebylove,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
joaovitorlace15,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",Brasil
__JessicaRamos_,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",Niterói
gabhenrii,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,nan
AlebrijeSoy,"RT @agencialupa: A campanha de @CaboDaciolo já gastou R$ 738,37 – a maior parte na taxa de administração de uma campanha de financiamento c…",nan
LongoRickson,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Floripa
Fabilson,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Pio XII, Brasil"
lliaBey,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID","Liberdade, São Paulo"
_yurivenancio,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Montenegro, Rio Grande do Sul"
Manasse24954554,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID","Guarujá, Brasil"
Daniele_limaa,"RT @MDiasSousa: Eu sou seu fã @CaboDaciolo você é um exemplo a ser seguido, por cristãos e não cristãos. https://t.co/3nbeFiGf95",São Paulo
ElbetTomaz,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Rio de Janeiro, Brasil"
jvb_alves,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Cuiabá, Brasil"
VnFerreira00,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Rj, Brasil "
hannymalluah9,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,na tua
