Usuario,Mensagem,Localizacao
elphabas,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",
RIADLIGGALO17,"RT @JOAQUINTEIXElRA: BOLSONARO,
AO VIVO,
no JORNAL NACIONAL:

- falou que a GLOBO é sustentada pelo Estado
- falou da desigualdade salarial…",BRASIL
Lucaxxhenrique,"RT @RainhaCarminha: Renata Vasconcellos: senhor candidato,o meu salário não diz respeito a ninguém

Pisou na caçamba de lixo #BolsonaroNoJo…","Recife, Brasil"
DannielLLacerda,"RT @milenereis: Bolsonaro quebrou a Rede Globo hoje.
Jornalistas berrando pra ele não falar, não mostrar o kit gay, interrompendo o cara po…",Parnamirim RN 
ionarahasse18,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM","Imbuia, Brasil"
AgildoMangabei1,"RT @br_molinasp: RENATA VASCONCELLOS 

23:59
""Um presidente tem que discutir a diferença salarial entre homem e mulher""

00:00
""Meu salário…",
godiswon,"RT @LannesDelRey: O Brasil viu o quanto Bolsonaro é machista ao momento que foi falar que Renata recebia menos q william Bonner.

Simplesme…",   ot5
math_sillva,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM","Lagoinha, São Gonçalo"
LuizBandas,"RT @davidsantos0525: Após o Jornal. Você Vota no BOLSONARO?

🔁RT PRA ESPALHAR🔁

#BolsonaroNoJornalNacional",Porto Alegre
marcosldesouza2,"RT @terca_livre: Merval Pereira mordeu a isca... 

DEUS FAMÍLIA BRASIL = palavras que não existem no dicionário dos globais.

Entrevista ag…",
2004julianamel,"RT @gessicafss: Primeiro: Renata Vasconcellos maraviilhosa dona da porra toda. 👏👊 
Segundo: Primeiro. 👏👊 

#RenataVasconcellos 
#BolsonaroN…",Itororó Bahia
itssericam,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Rondonópolis - Mato Grosso
cremederola,"RT @CorrupcaoMemes: Bolsonaro fez mais pela Renata Vasconcellos em 15 minutos do que o feminismo fez em 100 anos 
#BolsonaroNoJornalNaciona…",
teapaqs,NUNCA ACEITARIA RECEBER MENOS QUE UM HOMEM QUE TEM O MESMO CARGO QUE ELA NÉ MEU AMOR,CWB
Alefariascost,"RT @AnaBiapax: #BolsonaroNoJornalNacional 
Geeentee isso é Barra da Tijuca 👇👇 Rio de Janeiro , Bolsonaroooo... é o povo clamando Mitooooooo…",
ddlightwood,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",fan account
HokutoShinken8,@thaisheredia Outra oreia seca que caiu no bait. A bolha jornalística é intransponível; parece uma extensão para as… https://t.co/DpD4qfFfqL,
JotaLuizrn,"RT @canal_direita: ➡️ O livro é para ""educação sexual de crianças"" mas não pode mostrar ao vivo porque ""tem crianças assistindo.""

COERÊNCI…",
kyetzie,"RT @kevelloso: Bolsonaro: a 

Toda a vida existente no planeta:  #BolsonaroNoJornalNacional https://t.co/igQwr31bL2","Rio de Janeiro, Brasil"
ariannylima1_,"RT @isabell14758959: #BolsonaroNoJornalNacional Ele e candidato mesmo , pensei que era so para ter meme https://t.co/9r8yMY8OSz","Vitória, Espírito Santo"
hayllanamartins,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM","Bangu, Rio de Janeiro"
mallakias,"RT @Silas_Pereiraa: #BolsonaroNoJornalNacional
Barra da Tijuca após a entrevista de Jair Bolsonaro.🇧🇷🇧🇷👏🏼👏🏼👏🏼 https://t.co/ntHOPcKKjF",
JosCarl34494168,"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…","Estância, Brasil"
dannyseblack,"RT @kimpkat: Resposta sobre segurança pública irretocável. Policial que, no meio da ação, mata o criminoso que porta arma ostensivamente, d…",USA 🇺🇸 🇧🇷
JulianoZen,"RT @crisvillarinho: Os caras no shopping, pararam pra assistir o Bolsonaro. E tem gente que ainda acredita em pesquisa! #BolsonaroNoJornalN…",Minha lista de silenciados ta crescendo... lol
00_amandagarcia,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Terra Média
PAMELLATIELY,"RT @raulnascimentoo: O Jornal Nacional, da Rede Globo, censurou o ""kit gay"" que @jairbolsonaro mostrou ao vivo e pediu respeito aos telespe…",SÃO JOSÉ DO RIO PRETO-SP
eurealeza,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",
pfasosantos,"RT @Ro_Moller: Depois de ver a entrevista no JN, Globo News e toda repercussão no Twitter... Bolsonaro será ELEITO presidente por nocaute.…",São Paulo
leonardoca98,Vocês acham mais ridículo o posicionamento do bozonaro a respeito da desigualdade de salário entre homem e mulher o… https://t.co/MsPuD3Yvua,"Teresina, Brasil"
JoaquimArruda45,RT @RomuloIMP: O cara ganhou meu voto!!! https://t.co/3iTmdggy1T,Centenário - Tocantins
raphaeu,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Brasília, Brasil"
gledison_araujo,"RT @VRetorno: 23:59 - ""Você deve interferir na diferença salarial entre homens e mulheres na iniciativa privada""

00:00 - ""Mas você e o Bon…","Belém, Pará"
gatadegenerada,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",saturno
Ale_JU_01,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",
esgarotobom,"RT @WORD_NEWSS: Noblat não Critica Bolsonaro e família chama ambulância.
#BolsonaroNoJornalNacional https://t.co/OW0J6CXHpA",
CES_1973,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",Brasil
Souchaalexandre,"E uma tonta dessa ganha uma fortuna dessa,que deve vir do nosso bolso !",São Paulo - Brasil
lmjcigarretts,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,021|034
marcelosousamm,RT @rick0800: Essa parte da entrevista Jair Bolsonaro leva a entrevistadora e a rede Globo a um knock dow e uma suspirada de ódio do Willia…,"Brasília, Brasil"
Bira1979,Aquele momento que o @jairbolsonaro detona e mostra a real do movimento LGBT.,
netohorion,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Manaus, Amazonas"
dearloreena,RT @Thidylicious: Corre baixar esse hino.  #BolsonaroNoJornalNacional https://t.co/loXtOAdvLJ,Transylvania 
Alexand64765711,"RT @conexaopolitica: AO VIVO: Ainda sobre 'desigualdade salarial' entre homens e mulheres, Jair Bolsonaro jogou na cara de Renata Vasconcel…","Paraná, Brasil"
vinniciusesb,"Pior é para quem viu LULA na CADEIA e pretende votar nele!!!! 
Esse sim não entende nada....","Belo Horizonte, Minas Gerais"
JoaquimArruda45,"RT @Siplswimmer: O livro, que foi feito para crianças, não pode ser mostrado na TV... por causa das crianças. 
🤔
#BolsonaroNoJornalNacional",Centenário - Tocantins
JvictorKlein,"RT @davidsantos0525: Após o Jornal. Você Vota no BOLSONARO?

🔁RT PRA ESPALHAR🔁

#BolsonaroNoJornalNacional","Tijuca, Rio de Janeiro"
SiuzaSuzzy,RT @VihRodrigues___: Mulheres rindo da Renata Vasconcellos e apoiando o Bolsonaro. Quando foi que as mulheres passaram a se enxergar com tã…,
alexjscunha,RT @Enquette_: #BolsonaroNoJornalNacional: Como você avalia o desempenho de Jair Bolsonaro na entrevista no JN?,
Dr_Educamillo,RT @rick0800: Essa parte da entrevista Jair Bolsonaro leva a entrevistadora e a rede Globo a um knock dow e uma suspirada de ódio do Willia…,"Centro, Rio de Janeiro"
_marydasilva_,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…","Ilha do Governador, Rio de Janeiro"
andressagbucar,"RT @danieltuita: o cara é editor chefe 
procurou os salarios mas nao procurou os  cargos

é muita burrice porem mil likes dos bolsominion s…",Palmas - Tocantins
wclopz,"RT @professorigor: Eu vivi para ver a Globo citar  que uma de suas fontes de informação é o Super Pop da Luciana Gimenez!
#BolsonaroNoJorna…","São Paulo, Brasil"
CarlosbarbosaA3,"RT @Pedro_henriqz: Nao tenho vergonha de ser gay e apoiar o bolsonaro, eu vim de uma família tradicional brasileira, e apoio esses valores…",
Junitizando,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Brasil
Comarjose,"RT @davidsantos0525: Após o Jornal. Você Vota no BOLSONARO?

🔁RT PRA ESPALHAR🔁

#BolsonaroNoJornalNacional",Londrina PR
junh51,RT @SimoneRJ_BR: #BolsonaroNoJornalNacional MITADA HISTÓRICA EM CIMA DE BONNER E TODA GLOBO:👇 https://t.co/vuzW97yP5X,
LuaraNassaar,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",route 66
miharbikisij,"RT @Desesquerdizada: Resumo de #BolsonaroNoJornalNacional: anunciou o apartamento, cutucou Bonner pelo divórcio, jogou na cara da Renata qu…","Brasília, Brasil"
mynamesbabyblu,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Belo Horizonte, Brazil"
fckgca,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,clube de regatas do flamengo
reeis_isaaa,"RT @GarotaCiume: “candidato, o senhor está falando merda candidato” 
#BolsonaroNoJornalNacional https://t.co/mRXgwCezIz",na sua
grifindor,RT @jooseeanee: a Renata depois dessa entrevista #BolsonaroNoJornalNacional https://t.co/k1HG3s7qZs,"Recife, Brasil"
Ragasparneto,"RT @mjcosta_: ""Candidato não mostre o livro"". Ué, mas não é para CRIANÇAS? 

#BolsonaroNoJornalNacional","Olinda, PE, Brasil "
MaibonSimone,"RT @realpfigueiredo: Sou o maior defensor de um JB moderado, mas esse negócio de dizer que ele falou apenas para a própria base no JN não t…",Rio de Janeiro - Brasil
tabatista_br,"RT @lsentoes: A turminha do lacre tá toda nervosinha, mas pergunta pro papai trabalhador em quem ele vai votar. #BolsonaroNoJornalNacional",
verabottino,RT @MarizFigueiredo: Um breve resumo da entrevista do #BolsonaroNoJornalNacional #Bolsonaro #bolsolixo https://t.co/FKnYdQCW1T,Brazil
eaipredo,"RT @mahbaydoun: ooh mãezinha por que me tiraste do teu ventre pra ver o Bolsonaro fora do manicômio 

#BolsonaroNoJornalNacional https://t.…",twitter
mafort_gabi,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…","Espírito Santo, Brasil"
JlioAparecidoC1,"RT @rcp01: Globo Lixo.
Bolsonaro 17 #BolsonaroNoJornalNacional https://t.co/2073mkIhoh","Belo Horizonte, Brasil"
danielleqnt,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",
DannylloHLV,"RT @SatilAndrew: Povo falando sobre a Renata pagar o salário de políticos, mas não fala que a Rede Globo recebe dinheiro de partidos políti…",
lDG_1996,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Salvador, Brasil"
GabiWeasley_,RT @withyouts: “eu não sou homofóbico mas tá errado homem com homem” e com essa frase eu encerro o dia de hoje muito obrigada #BolsonaroNoJ…,"Rio de Janeiro, Brasil"
gasbriivit,RT @GAROTIMDALUA: renata vasconcellos esmurrando o bolsonaro ao vivo será o melhor vídeo que você irá ver hoje. #BolsonaroNoJornalNacional…,"Duque de Caxias, Brasil"
SouzaShady,"RT @lucianobraz: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bonner…","Rio de Janeiro, Brasil"
campos_agnaldo,"RT @VRetorno: Nosso Presidente é fodástico!
Anunciou a venda de seu apartamento em horário nobre sem gastar um tostão...
😂😂😂😂
#BolsonaroNoJ…","Capão Redondo, São Paulo"
pjmlovwr,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",pjm + jjk
magoosantista,"RT @fabipaesleme: Hoje na Barra da Tijuca, RJ. Depois da entrevista do candidato Jair Bolsonaro na Rede Globo #BolsonaroNoJornalNacional ht…","Nossa Senhora das Dores, BR"
sammyAraujo,"RT @Louback99: Bolsonaro é o brasileiro q mais passa vergonha atualmente? 
(  ) sim
(X) COM CERTEZA
#BolsonaroNoJornalNacional","Rio de Janeiro, Brasil"
mbonatti54,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Uberlândia - MG
sarahh_arruda,"RT @GarotaCiume: “candidato, o senhor está falando merda candidato” 
#BolsonaroNoJornalNacional https://t.co/mRXgwCezIz",
BurinYasmin,Será que nasceu burro assim mesmo ou bateu a cabeça?,"Santa Bárbara d'Oeste, Brasil"
celsorenato5,RT @fabifbbr: Adoroooo... hahahaha Roberto Marinho foi o que Globo??? 👏🏻👏🏻🙌🏻🙌🏻🇧🇷🇧🇷 #BolsonaroNoJornalNacional,Estados Unidos
yourclarity_,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Rio de Janeiro, Brasil"
xandafernandez,"Não sei porque convidaram o cara pra entrevistar se o cara só foi tratado mal, ele é um baita fdp mas a gente trata… https://t.co/K9kUkbXYJN","Passo Pedras, Porto Alegre"
carlatoscan,RT @lasliborio: Porque o exército expulsa mau caráteres como ele! Ele foi chutado do exército por ato de TERRORISMO! Planejava envenenar a…,"Novo Hamburgo, Brasil"
Armada3,"RT @da_direita: #BolsonaroNoJornalNacional  

#DireitaVemDeGraca #DireitaSegueDireita #DireitaUnida #direitaamordaçada #Boldonaro17 #Bolson…",Brazil
shandlerbong,"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",
rocha_erich,#BolsonaroNoJornalNacional Só Bolsonaro tem coragem para enfrentar o sistema globo corrupto de televisão. Lula semp… https://t.co/zqjneU9QnY,"Iúna, Brasil"
Bsouro,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",Crato-CE
journalsofyou,"RT @bchartsnet: Agora é só esperar os bolsominions fingirem que ele ""mitou"" e arrasou depois de ter sido pisado pela Renata, só gritado e n…",bh city
fcksantanico,RT @mffernandab: “o meu salário não diz respeito a ninguém e eu garanto ao senhor que eu como mulher jamais aceitaria receber um salário me…,estocolmo
dariocorrea108,"RT @allantercalivre: Sou amigo da pessoa que jogou na cara do Willian Bonner, ao vivo, no Jornal Nacional, que a Globo vive boa parte do di…","Mogi das Cruzes, Brasil"
wonhofilm,"RT @swtcmilas: renata vasconcellos comendo o cu do bolsonaro sem dó appreciatiom tweet
em breve no xvideos #BolsonaroNoJornalNacional https…",luna e juli
Ezequias_silva1,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…","Rio de Janeiro, Brasil"
IovatodeIicate,"RT @bchartsnet: Bolsonaro: isso aconteceu em 1964...
Bonner: nós estamos em 2018 candidato
#BolsonaroNoJornalNacional https://t.co/sjWKRS4i…","Salvador, Brasil"
basquens,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…","São Paulo, SP"
blackwid_w,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Rio de Janeiro, Brasil"
Karinne_hope,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",BrasilHope
lucas_durden,"RT @Aames_Oliveira: Renata Vasconcellos: ""Não, candidato! Por favor, não mostre esse livro escolar! Tem criança assistindo!""
#BolsonaroNoJo…","Rio de Janeiro, Brasil"
whittebaby,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,putaquepariu
UnicornioDaLaur,"RT @LannesDelRey: O jornal nacional serviu para mostrar o quanto Bolsonaro é homofóbico, racista e machista.

Nem seus eleitores conseguem…",Havana ona ona
celiadb12,"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…",
ValdonelBrito,"RT @JoelAlexandreM: O Bonner até tentou evitar, mas não teve jeito, Bolsonaro falou o editorial de Roberto Marinho, e fez a famosa pergunta…","Tianguá, Brasil"
Dr_Educamillo,"RT @edmilsonpapo10: Rasgou o kit gay
Cagou pras feminazis
Vai fuzilar bandido
Mano, eu to feliz demais
#BolsonaroNoJornalNacional","Centro, Rio de Janeiro"
wnobuo,Realmente Bolsonaro não tem raciocínio lógico. Não conseguiu sair da primeira pergunta. #BolsonaroNoJornalNacional,"Araxá,MG - Brasil"
Aliinevaladares,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Belo Horizonte, Brasil"
Duuh1991,"E é isso que queremos! Matar bandidos.
E se você os defende você deveria ir morar com eles ou até mesmo ir preso ju… https://t.co/OilUzCeM5W",Toca da Raposa 
scorpionfriends,RT @BlogDoPim: A âncora Renata faz bem em não aceitar receber menos que homens por funções iguais (Bonner também é editor-chefe) pois ela é…,"Nordeste, Brasil "
reeis_isaaa,"RT @RealityAoVivo: Renata Vasconcellos colocando Bolsonaro no seu devido lugar, não deixem esse vídeo morrer  #BolsonaroNoJornalNacional ht…",na sua
